geo_shock_pct,Cumulative Earnings
30%,2.074860123581602
30%,2.120333962879765
30%,2.1661943526260186
30%,2.211929333281626
30%,2.16426739934086
30%,2.087539580112592
30%,2.132928619162773
30%,1.9064725994102354
30%,1.8407123061473798
30%,1.8857783946028848
30%,1.9307329351503988
30%,1.7659136781434759
30%,1.8106393970746217
30%,1.8552478830553891
30%,1.8997372820540521
30%,1.883821533945374
30%,1.928067279834546
30%,1.9721885013688498
30%,2.0161834280506805
30%,2.0598072502882334
30%,1.871463321233481
30%,1.9143586991843662
30%,1.9568963150120382
30%,1.8900020104181123
30%,1.931829984421106
30%,1.913835212821389
30%,1.7754035258805279
30%,1.8161512640861308
30%,1.5997302748385362
30%,1.6397480141106031
30%,1.6793979744004317
30%,1.4853386013146077
30%,1.3791254432197952
30%,1.4176616388343064
30%,1.1548398329005436
30%,1.1930785706249192
30%,1.2313981037501374
30%,1.26980208227305
30%,1.2554463876993387
30%,1.294029949782537
30%,1.0496072719677834
30%,1.0883679700881677
30%,1.1272142403600307
30%,1.1661440783239059
30%,0.9604370262172872
30%,0.9995279662278044
30%,0.9754241505787795
30%,0.7255641655900982
30%,0.7648816077867278
30%,0.8042704943972677
40%,2.0
40%,2.07497
40%,2.1470008085
40%,2.006073988358686
40%,2.0722229365890787
40%,1.9939628959928006
40%,1.9055972062521778
40%,1.9671024343384858
40%,2.027755485273533
40%,2.0875553861912235
40%,2.1459286011732996
40%,2.2028744141216094
40%,2.2583921776708618
40%,2.044381996453213
40%,2.0935000026093307
40%,2.137654661560097
40%,2.176851816577605
40%,2.211095414583249
40%,2.029363140249401
40%,2.0665735996749506
40%,1.8209233560786475
40%,1.8610988235598156
40%,1.9005061764472169
40%,1.8842560368012478
40%,1.6561534779000597
40%,1.693248652904544
40%,1.7292456518087906
40%,1.7641434084712977
40%,1.6404718544826278
40%,1.3607000692123912
40%,1.3931025067522684
40%,1.3170678679747914
40%,1.3488936249740069
40%,1.3804363945324605
40%,1.35767690704469
40%,1.3946737331398689
40%,1.3574524721465118
40%,1.3999047471817945
40%,1.442822194253602
40%,1.3991079271478877
40%,1.442951638327528
40%,1.3903813575462343
40%,1.3594724012844344
40%,1.4045580864895848
40%,1.3211699910843506
40%,1.2866312269171067
40%,1.332366207572714
40%,1.1561117766592808
40%,1.2016112215127692
40%,1.24700026056295
40%,1.2922836182087631
40%,1.3374593190359239
40%,1.3825254074914288
40%,1.3298053939621957
40%,1.3746464712315971
40%,1.419372190162743
40%,1.4639806761435104
40%,1.5084700751421734
40%,1.552838553834174
40%,1.4455848144046313
40%,1.4897060359389351
40%,1.3980019389500324
40%,1.4416257611875851
40%,1.4848831381763488
40%,1.2373738636911218
40%,1.2799114795187938
40%,1.1027258255169061
40%,1.1445537995198998
40%,1.0021098091885687
40%,1.0432196520545527
40%,1.0839673902601556
40%,1.1243510747100547
40%,1.1643688139821216
40%,1.0590899069476278
40%,1.0983703120012234
40%,0.8516672082376079
40%,0.7802339547143367
40%,0.8183956107863316
40%,0.8566343485107072
40%,0.8949538816359255
40%,0.9333578601588381
40%,0.7327864012317274
40%,0.6666507239933153
40%,0.7053238508432397
40%,0.5342267285235307
40%,0.32454124842889753
40%,0.13296890668371544
40%,-0.10471690961014574
40%,-0.2768523547175611
40%,-0.23768388963465722
40%,-0.19843992250622472
40%,-0.15912248030959514
40%,-0.11973359369905523
