time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
6.25,39.01755585,226.96374999999992,3.2396348249481903,2.9500211905022966,3.2337713396801915,1.0,1,0.0,0%
6.5,38.898309450000006,237.8837499999999,3.2757027677312958,2.9886136257617895,3.284453725708223,1.0,1,0.0,0%
6.75,38.779063050000005,248.8037499999999,3.3096128460190735,3.025360127513033,3.3346943255528867,1.0,1,0.0,0%
7.0,38.65981665,259.7237499999999,3.3417628943155497,3.0606136984909935,3.384438551291444,1.0,1,0.0,0%
7.25,38.54057025,270.6437499999999,3.372456952893044,3.0971304103730937,3.433639660560741,1.0,1,0.0,0%
7.5,38.42132385,281.5637499999999,3.401927672034524,3.1326736016121717,3.4818218055017325,1.0,1,0.0,0%
7.75,38.30207745,292.48374999999993,3.4303533614252273,3.1673987669168358,3.528941267825644,1.0,1,0.0,0%
8.0,38.18283105,303.40374999999995,3.4578709645951013,3.2014248802478344,3.5749583218646124,1.0,1,0.0,0%
8.25,38.205190247656255,314.32374999999996,3.4845859323947033,3.228457541459412,3.619836386625384,1.0,1,0.0,0%
8.5,38.226215269531245,325.28437499999995,3.521793990280683,3.2652541897496716,3.6646588550390597,1.0,1,0.0,0%
8.75,38.24590116445312,336.285625,3.5669579492647365,3.3094815483944977,3.709553320131987,1.0,1,0.0,0%
9.0,38.26424298125,347.3275,3.6181434956918355,3.3593594003059724,3.7546116902842788,1.0,1,0.0,0%
9.25,38.141421175,358.40999999999997,3.6738740600023974,3.388492115363986,3.799898906976805,1.0,1,0.0,0%
9.5,38.018599368749996,369.49249999999995,3.7215193481828788,3.409531355906989,3.849840747288527,1.0,1,0.0,0%
9.75,37.8957775625,380.57499999999993,3.7628962927573975,3.424279840440671,3.904438645936808,1.0,1,0.0,0%
10.0,37.77295575625,391.6574999999999,3.799389878161375,3.4341051371053055,3.963696525092235,1.0,1,0.0,0%
10.25,37.65013395,402.7399999999999,3.8320561198434415,3.459675108383625,4.027621354777048,1.0,1,0.0,0%
10.5,37.52731214375,413.8224999999999,3.8617004891487836,3.4824525383607043,4.092788031782516,1.0,1,0.0,0%
10.75,37.4044903375,424.90499999999986,3.888937638702425,3.5030004396720056,4.15915642317043,1.0,1,0.0,0%
